NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지,대지위치_표제부,도로명대지위치_표제부,매칭단계
715,서울특별시 광진구 구의동,집합,235-3,광나루로36길,제3종일반주거,제2종근린생활,8m미만,56.61, ,"25,200",2.0,개인,개인,202512,29,,2016.0,-,중개거래,"서울 광진구, 서울 중랑구",,,매칭실패
716,서울특별시 강남구 청담동,일반,서울특별시 강남구 청담동 123-16번지,서울특별시 강남구 도산대로99길 27 (청담동),제2종일반주거,제1종근린생활,8m미만,628.33,234.3,"1,620,000",,개인,법인,202512,29,,2024.0,-,중개거래,"서울 강남구, 서울 성동구",서울특별시 강남구 청담동 123-16번지,서울특별시 강남구 도산대로99길 27 (청담동),1단계: 정확매칭
717,서울특별시 도봉구 창동,집합,45,노해로66길,제3종일반주거,판매,25m이상,27.15, ,"35,000",1.0,개인,개인,202512,29,,1992.0,-,중개거래,서울 도봉구,,,매칭실패
718,서울특별시 마포구 상암동,집합,1596,월드컵북로54길,일반상업,판매,25m미만,47.62, ,"138,000",1.0,개인,개인,202512,29,,2017.0,-,중개거래,서울 마포구,,,매칭실패
719,서울특별시 용산구 이태원동,일반,서울특별시 용산구 이태원동 116-15번지,서울특별시 용산구 이태원로27가길 50 (이태원동),제1종일반주거,제2종근린생활,8m미만,893.19,426,"1,600,000",,법인,개인,202512,29,,1989.0,-,중개거래,서울 강남구,서울특별시 용산구 이태원동 116-15번지,서울특별시 용산구 이태원로27가길 50 (이태원동),1단계: 정확매칭
720,서울특별시 성북구 정릉동,집합,192-203,서경로13길,제2종일반주거,제2종근린생활,8m미만,33.29, ,"12,500",1.0,개인,개인,202512,29,지분,2017.0,-,직거래,-,,,매칭실패
721,서울특별시 중구 충무로2가,일반,서울특별시 중구 충무로2가 49-3번지,서울특별시 중구 삼일대로8길 16 (충무로2가),일반상업,제1종근린생활,12m미만,137.46,109.1,"260,500",,법인,개인,202512,29,,1957.0,-,중개거래,서울 강남구,서울특별시 중구 충무로2가 49-3번지,서울특별시 중구 삼일대로8길 16 (충무로2가),2단계: 건축년도+연면적
722,서울특별시 중구 충무로2가,일반,서울특별시 중구 충무로2가 49-9번지,서울특별시 중구 삼일대로8길 14 (충무로2가),일반상업,제2종근린생활,12m미만,270.71,188.4,"450,000",,법인,개인,202512,29,,1954.0,-,중개거래,서울 강남구,서울특별시 중구 충무로2가 49-9번지,서울특별시 중구 삼일대로8길 14 (충무로2가),2단계: 건축년도+연면적
723,서울특별시 중랑구 망우동,일반,서울특별시 중랑구 망우동 135-1번지,서울특별시 중랑구 양원역로 3 (망우동),제3종일반주거,제2종근린생활,25m미만,275.0,114,"70,000",,법인,개인,202512,29,,1985.0,-,중개거래,서울 강남구,서울특별시 중랑구 망우동 135-1번지,서울특별시 중랑구 양원역로 3 (망우동),1단계: 정확매칭
724,서울특별시 중구 충무로4가,집합,334,창경궁로1길,일반상업,숙박,12m미만,23.61, ,"22,800",6.0,개인,개인,202512,29,,2021.0,-,중개거래,서울 중구,,,매칭실패
725,서울특별시 마포구 신수동,일반,서울특별시 마포구 신수동 433-1번지,서울특별시 마포구 독막로28길 66 (신수동),제2종일반주거,제2종근린생활,12m미만,269.58,99,"162,000",,개인,개인,202512,29,,1999.0,-,중개거래,서울 마포구,서울특별시 마포구 신수동 433-1번지,서울특별시 마포구 독막로28길 66 (신수동),2단계: 건축년도+연면적
726,서울특별시 마포구 도화동,집합,서울특별시 노원구 중계동 26-10번지,서울특별시 노원구 중계로2가길 21 (중계동),일반상업,업무,25m이상,20.25, ,"18,500",8.0,개인,개인,202512,29,,1988.0,-,중개거래,서울 마포구,서울특별시 노원구 중계동 26-10번지,서울특별시 노원구 중계로2가길 21 (중계동),2단계: 건축년도+연면적
727,서울특별시 구로구 구로동,집합,46106,새말로,일반상업,판매,25m이상,10.0, ,"4,500",,개인,개인,202512,29,,2007.0,-,중개거래,서울 구로구,,,매칭실패
728,서울특별시 강남구 역삼동,집합,701-7,테헤란로,일반상업,업무,25m이상,685.15, ,"1,100,000",20.0,법인,개인,202512,29,,2002.0,-,중개거래,서울 강남구,,,매칭실패
729,서울특별시 중구 남창동,일반,6*,남대문시장4길,일반상업,제2종근린생활,12m미만,18.84,13.4,"59,344",,개인,개인,202512,29,지분,,-,직거래,-,,,매칭실패
730,서울특별시 중구 남창동,일반,6*,,일반상업,제1종근린생활,12m미만,24.1,19.44,"83,456",,개인,개인,202512,29,지분,1955.0,-,직거래,-,,,매칭실패
731,서울특별시 강남구 역삼동,집합,701-7,테헤란로,일반상업,업무,25m이상,685.15, ,"1,100,000",19.0,법인,개인,202512,29,,2002.0,-,중개거래,서울 강남구,,,매칭실패
